Station1,Station2,Distance
Khapri,New Airport,52.83541910915756
Khapri,Airport South,53.128611995832635
Khapri,Jaiprakash Nagar,53.66831409449999
Khapri,Ujjwal Nagar,53.53437903928736
Khapri,Chhatrapati Square,53.79215810459574
Khapri,Ajni,55.05520639875371
Khapri,Rahate Colony,54.33611221401147
Khapri,Congress Nagar,55.087526054389194
Khapri,Shankar Nagar,52.7625795353051
Khapri,Zero Mile,54.853064093313534
Khapri,Lokmanya Nagar,46.71949967618194
Khapri,Bansi Nagar,47.816631116991225
Khapri,Vasudev Nagar,48.53264345842747
Khapri,Ajni Square,53.99310516877744
Khapri,Institute of Engineers,53.74685632674245
Khapri,Subhash Nagar,50.847720666460006
Khapri,Jhansi Rani Square,54.80158536915167
Khapri,Automotive Square,58.86242086212026
New Airport,Airport South,1.5213809581512925
New Airport,Jaiprakash Nagar,4.3535162435621
New Airport,Ujjwal Nagar,3.575994786767425
New Airport,Chhatrapati Square,5.015528207111112
New Airport,Ajni,7.291023971303007
New Airport,Rahate Colony,7.114644241984673
New Airport,Congress Nagar,7.714586593341248
New Airport,Shankar Nagar,7.569399456212242
New Airport,Zero Mile,9.292118434612666
New Airport,Lokmanya Nagar,7.494559080367967
New Airport,Bansi Nagar,7.138886673640442
New Airport,Vasudev Nagar,6.950779145316877
New Airport,Ajni Square,6.019001793854622
New Airport,Institute of Engineers,8.132142905370403
New Airport,Subhash Nagar,6.497466038685759
New Airport,Jhansi Rani Square,8.693763206865873
New Airport,Automotive Square,14.517109649285649
Airport South,Jaiprakash Nagar,2.833026321305305
Airport South,Ujjwal Nagar,2.054960359413377
Airport South,Chhatrapati Square,3.4954305347274386
Airport South,Ajni,5.7736339807635195
Airport South,Rahate Colony,5.594297175156665
Airport South,Congress Nagar,6.195322382913973
Airport South,Shankar Nagar,6.112241089021944
Airport South,Zero Mile,7.772667795516889
Airport South,Lokmanya Nagar,7.0516128101386
Airport South,Bansi Nagar,6.457687286244885
Airport South,Vasudev Nagar,6.122339191571958
Airport South,Ajni Square,4.499407112833198
Airport South,Institute of Engineers,6.630029768530329
Airport South,Subhash Nagar,5.260759084896108
Airport South,Jhansi Rani Square,7.173278375853789
Airport South,Automotive Square,13.009282159788917
Jaiprakash Nagar,Ujjwal Nagar,0.7788279173941416
Jaiprakash Nagar,Chhatrapati Square,0.6627473426104266
Jaiprakash Nagar,Ajni,2.9829173503601973
Jaiprakash Nagar,Rahate Colony,2.761272936995381
Jaiprakash Nagar,Congress Nagar,3.388955838009343
Jaiprakash Nagar,Shankar Nagar,3.4829869448622026
Jaiprakash Nagar,Zero Mile,4.939998498427378
Jaiprakash Nagar,Lokmanya Nagar,6.957516064842458
Jaiprakash Nagar,Bansi Nagar,5.945633340885224
Jaiprakash Nagar,Vasudev Nagar,5.325144442425311
Jaiprakash Nagar,Ajni Square,1.6670908507559674
Jaiprakash Nagar,Institute of Engineers,3.841200120023976
Jaiprakash Nagar,Subhash Nagar,3.483944284227522
Jaiprakash Nagar,Jhansi Rani Square,4.3403025267463935
Jaiprakash Nagar,Automotive Square,10.236937420123773
Ujjwal Nagar,Chhatrapati Square,1.4415745958377975
Ujjwal Nagar,Ajni,3.7377635964844935
Ujjwal Nagar,Rahate Colony,3.5396294073685675
Ujjwal Nagar,Congress Nagar,4.1519844646650546
Ujjwal Nagar,Shankar Nagar,4.190898931451594
Ujjwal Nagar,Zero Mile,5.718720346311185
Ujjwal Nagar,Lokmanya Nagar,6.89732429313093
Ujjwal Nagar,Bansi Nagar,5.987102391833146
Ujjwal Nagar,Vasudev Nagar,5.438573139235361
Ujjwal Nagar,Ajni Square,2.445918559470243
Ujjwal Nagar,Institute of Engineers,4.6077009434011345
